"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-04",,,,"11","6",,,,,,,,,,,"0.95",,,,"2.71",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-05",,,,"10","8",,,,,,,,,,,"1.63",,,,"4.67",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-06",,,,"13","8",,,,,,,,,,,"1.20",,,,"3.56",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-07",,,,"16","12",,,,,,,,,,,"2.67",,,,"9.10",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-08",,,,"11","9",,,,,,,,,,,"2.81",,,,"6.65",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-09",,,,"10","5",,,,,,,,,,,"6.75",,,,"9.05",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-10",,,,"14","7",,,,,,,,,,,"3.28",,,,"6.18",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-11",,,,"10","3",,,,,,,,,,,"0.52",,,,"1.20",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-12",,,,"15","11",,,,,,,,,,,"0.49",,,,"1.90",,,,,,,,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-01","10.3","0","0","9","4","1","1","0","18","0","1","0","20","1","1.8","0.88","70","2510","814","1.67","2.7","38.7","46.2","31.3","310","290","38.0","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-02","9.4","0","0","11","8","0","0","0","13","1","0","0","12","0","0.0","0.62","62","3234","724","2.60","0.0","40.0","47.5","32.6","260","270","44.1","54"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-03","10.3","0","0","12","8","0","0","0","3","0","4","0","24","0","0.0","1.13","80","3764","530","3.76","0.0","47.9","56.0","39.8","270","250","35.1","47"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-04","11.6","0","0","13","8","0","0","0","1","0","0","0","32","0","0.0","1.69","69","4206","442","3.80","0.0","50.3","58.5","42.0","240","280","36.9","49"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-05","10.1","49","49","9","4","0","0","0","0","0","14","0","34","0","0.0","0.79","86","4384","178","1.66","0.0","60.8","70.4","51.3","270","260","36.0","45"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-06","8.5","334","286","8","6","0","0","0","0","0","30","5","51","0","0.0","1.44","93","4388","4","2.89","0.0","74.4","84.1","64.7","350","350","33.1","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-07","8.1","826","491","12","10","0","0","0","0","0","31","17","67","0","0.0","2.78","96","0","0","11.22","0.0","80.9","89.3","72.4","270","270","40.0","53"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-08","8.7","1219","394","11","8","0","0","0","0","0","31","9","61","0","0.0","0.72","94","0","0","3.19","0.0","77.7","86.0","69.4","350","340","49.0","71"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-09","8.1","1384","165","8","6","0","0","0","0","0","26","0","45","0","0.0","1.43","89","41","41","4.06","0.0","69.1","77.6","60.7","220","250","30.0","41"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-10","8.3","1391","6","12","5","0","0","0","1","0","12","0","32","0","0.0","1.59","79","261","220","4.57","0.0","58.1","65.9","50.3","230","230","30.0","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-11","8.9","1393","2","8","7","0","0","0","2","0","7","0","26","0","0.0","1.21","77","668","407","3.67","0.0","51.5","61.2","41.8","250","250","48.1","60"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-12","10.3","1393","0","10","8","6","2","0","19","2","0","0","16","11","5.9","0.97","62","1502","834","4.09","11.9","38.1","45.4","30.8","360","150","38.0","51"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-01","10.5","0","0","9","6","0","1","0","25","2","0","0","16","0","2.2","0.68","53","2447","945","2.50","3.2","34.5","41.1","27.9","310","310","36.0","47"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-02","10.3","0","0","14","8","23","6","0","21","5","0","0","16","17","15.1","1.44","54","3341","893","4.65","30.6","33.1","38.7","27.5","240","240","36.0","46"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-03","11.0","2","2","9","6","0","0","0","12","0","3","0","21","0","0.0","1.35","84","3942","601","3.20","0.0","45.7","55.3","36.1","260","260","44.1","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-04","10.5","12","9","9","4","0","0","0","2","0","10","0","28","0","0.0","0.89","89","4267","324","2.19","0.0","54.5","64.7","44.3","310","250","38.0","53"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-05","9.8","107","95","11","8","0","0","0","0","0","21","4","43","0","0.0","1.15","96","4383","116","4.55","0.0","64.3","74.7","53.9","260","260","45.0","55"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-06","8.9","444","337","11","7","0","0","0","0","0","30","12","54","0","0.0","2.19","103","4383","0","4.36","0.0","76.2","86.6","65.8","250","280","31.1","41"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-07","8.1","872","428","15","8","0","0","0","0","0","31","11","61","0","0.0","2.28","97","0","0","8.91","0.0","78.8","87.5","70.2","310","40","45.0","58"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-08","7.4","1336","464","10","9","0","0","0","0","0","31","13","62","0","0.0","2.51","99","0","0","7.19","0.0","80.0","87.9","72.0","240","240","30.0","59"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-09","9.6","1563","227","8","6","0","0","0","0","0","30","1","55","0","0.0","8.41","91","3","3","10.50","0.0","72.4","80.5","64.4","360","40","36.9","44"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-10","8.9","1625","63","12","9","0","0","0","0","0","19","0","45","0","0.0","3.68","84","83","80","5.65","0.0","64.4","72.4","56.5","300","10","32.0","40"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-11","8.7","1625","0","8","2","0","0","0","2","0","2","0","27","0","0.1","0.41","74","621","538","0.89","0.1","47.1","55.9","38.2","270","270","40.9","52"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2021-12","8.7","1625","0","14","6","0","0","0","6","0","0","0","23","0","0.1","0.25","69","1258","636","1.28","0.1","44.5","51.2","37.8","280","280","38.9","50"
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-01",,,,"9","3",,,,,,,,,,,"0.78",,,,"1.74",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-02",,,,"9","6",,,,,,,,,,,"1.18",,,,"3.18",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-03",,,,"12","8",,,,,,,,,,,"1.38",,,,"3.17",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-04",,,,"14","9",,,,,,,,,,,"0.88",,,,"3.94",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-05",,,,"13","6",,,,,,,,,,,"0.61",,,,"2.14",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-06",,,,"10","7",,,,,,,,,,,"0.81",,,,"3.10",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-07",,,,"7","5",,,,,,,,,,,"1.25",,,,"4.68",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-08",,,,"12","6",,,,,,,,,,,"0.36",,,,"3.28",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-09",,,,"8","5",,,,,,,,,,,"1.93",,,,"4.71",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-10",,,,"11","5",,,,,,,,,,,"1.66",,,,"5.54",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-11",,,,"9","8",,,,,,,,,,,"0.77",,,,"3.39",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2020-12",,,,"9","7",,,,,,,,,,,"1.43",,,,"4.36",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-01",,,,"6","5",,,,,,,,,,,"1.20",,,,"2.70",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-02",,,,,,,,,,,,,,,,,,,,"2.54",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-03",,,,"5","4",,"0",,,,,,,,"0.0","1.02",,,,"3.15","0.0",,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-04",,,,"12","8",,,,,,,,,,,"1.29",,,,"3.96",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-05",,,,"9","7",,,,,,,,,,,"1.25",,,,"4.25",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-07",,,,"13","11",,,,,,,,,,,"1.70",,,,"5.65",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-08",,,,"11","7",,,,,,,,,,,"0.74",,,,"3.08",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-09",,,,"8","6",,,,,,,,,,,"3.80",,,,"7.09",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-10",,,,"8","6",,,,,,,,,,,"2.23",,,,"4.65",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-11",,,,"8","3",,,,,,,,,,,"0.27",,,,"0.82",,,,,,,,
"US1NYNS0018","HICKSVILLE 1.3 ENE, NY US","2021-12",,,,"15","5",,,,,,,,,,,"0.56",,,,"1.60",,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01","11.6","0","0","9","5","1","1","0","12","1","0","0","20","1","1.9","0.78","67","2389","808","1.62","2.6","38.9","44.6","33.2","320","310","38.9","52"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02","11.0","0","0","12","8","0","0","0","11","1","0","0","15","0","0.0","0.56","61","3117","728","2.72","0.0","39.9","46.1","33.7","270","250","38.9","52"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03","11.9","0","0","12","7","0","0","0","1","0","3","0","26","0","0.0","1.44","78","3639","523","3.92","0.0","48.1","54.8","41.4","310","260","33.1","47"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04","12.8","0","0","14","8","0","0","0","0","0","0","0","38","0","0.0","1.72","69","4072","433","4.50","0.0","50.6","57.3","43.9","300","310","44.1","57"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05","11.4","44","44","11","4","0","0","0","0","0","12","0","36","0","0.0","0.38","86","4248","176","1.20","0.0","60.8","69.2","52.4","270","270","38.0","50"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06","8.7","373","329","8","5","0","0","0","0","0","30","5","54","0","0.0","0.27","93","4250","2","1.11","0.0","75.9","84.0","67.8","10","20","29.1","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-07","8.7","927","553","12","5","0","0","0","0","0","31","19","68","0","0.0","2.45","97","0","0","4.74","0.0","82.8","90.5","75.2","250","260","36.0","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-08","9.2","1382","455","13","11","0","0","0","0","0","31","10","67","0","0.0","1.49","95","0","0","4.90","0.0","79.7","86.2","73.2","160","170","53.0","69"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-09","9.2","1589","207","9","6","0","0","0","0","0","26","0","51","0","0.0","1.43","89","25","25","4.17","0.0","71.1","77.3","64.8","170","160","30.0","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-10","9.4","1606","16","13","6","0","0","0","0","0","11","0","35","0","0.0","1.59","77","199","174","5.17","0.0","59.9","65.7","54.2","50","50","32.0","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-11","10.5","1611","6","8","8","0","0","0","0","0","7","0","33","0","0.0","1.23","78","525","326","4.42","0.0","54.3","61.4","47.2","260","250","46.1","62"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-12","12.1","1611","0","10","8","7","2","0","12","0","0","0","24","9","5.6","1.01","63","1271","746","3.53","10.2","40.9","46.5","35.3","190","160","42.9","63"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-01","12.3","0","0","9","4","0","1","0","13","2","0","0","17","0","1.5","0.79","52","2148","877","2.19","1.9","36.7","41.4","32.1","310","320","38.9","49"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-02","11.6","0","0","14","10","23","5","0","17","4","0","0","19","13","11.7","0.86","53","2985","837","4.13","23.2","35.1","40.0","30.3","60","270","36.0","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-03","12.3","2","2","8","6","0","0","0","10","0","1","0","23","0","0.0","1.31","82","3595","610","3.12","0.0","45.4","53.2","37.5","300","320","42.9","54"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-04","11.0","5","3","10","5","0","0","0","1","0","8","0","29","0","0.0","0.92","83","3909","313","2.75","0.0","54.7","63.1","46.2","300","310","42.9","61"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-05","10.5","91","86","12","7","0","0","0","0","0","16","0","44","0","0.0","1.14","88","4043","135","3.94","0.0","63.4","71.5","55.4","60","60","38.0","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-06","9.2","410","319","7","7","0","0","0","0","0","29","9","56","0","0.0","0.67","100","4043","0","2.44","0.0","75.6","84.1","67.2","270","270","36.0","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-07","8.7","806","396","17","13","0","0","0","0","0","30","8","60","0","0.0","1.81","96","1","1","8.47","0.0","77.7","84.7","70.7","320","320","47.0","58"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-08","8.5","1249","443","11","7","0","0","0","0","0","31","8","64","0","0.0","2.30","98","1","0","6.91","0.0","79.3","85.5","73.1","310","310","36.0","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-09","10.3","1485","236","9","5","0","0","0","0","0","29","0","56","0","0.0","6.80","88","6","4","8.76","0.0","72.7","79.1","66.3","60","60","40.0","47"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-10","10.1","1554","69","11","8","0","0","0","0","0","18","0","49","0","0.0","2.48","83","85","79","4.01","0.0","64.7","70.5","58.8","80","80","33.1","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-11","10.1","1554","0","9","2","0","0","0","0","0","2","0","33","0","0.0","0.35","72","570","485","0.81","0.0","48.8","54.9","42.7","300","300","40.0","52"
"USW00014732","LAGUARDIA AIRPORT, NY US","2021-12","10.3","1554","0","13","5","1","0","0","4","0","0","0","27","1","0.6","0.44","67","1191","621","1.45","0.6","45.0","50.1","39.9","290","280","40.9","57"
"USC00308577","SYOSSET, NY US","2020-01",,"0","0","12","6","1","1","0","21","3","0","0","14","1","2.0","1.07","66","2853","887","2.50","2.0","36.4","44.8","28.0",,,,
"USC00308577","SYOSSET, NY US","2020-02",,"0","0","15","9","0","0","0","18","3","0","0","11","0","0.0","1.18","59","3671","817","3.87","0.0","36.8","44.2","29.4",,,,
"USC00308577","SYOSSET, NY US","2020-03",,"0","0","11","7","0","0","0","11","0","1","0","23","0","0.0","1.34","72","4315","644","4.24","0.0","43.5","51.8","35.2",,,,
"USC00308577","SYOSSET, NY US","2020-04",,"0","0","17","12","0","0","0","4","0","0","0","31","0","0.0","1.30","64","4873","559","5.13","0.0","46.4","53.6","39.1",,,,
"USC00308577","SYOSSET, NY US","2020-05",,"8","8","14","5","0","0","0","0","0","10","0","33","0","0.0","0.52","79","5133","259","1.99","0.0","56.3","65.4","47.3",,,,
"USC00308577","SYOSSET, NY US","2020-06",,"164","155","7","6","0","0","0","0","0","28","0","48","0","0.0","0.40","87","5162","29","1.68","0.0","69.2","78.9","59.5",,,,
"USC00308577","SYOSSET, NY US","2020-07",,"511","347","13","8","0","0","0","0","0","29","7","63","0","0.0","1.05","93","0","0","3.82","0.0","77.0","85.2","68.7",,,,
"USC00308577","SYOSSET, NY US","2020-08",,"789","278","13","7","0","0","0","0","0","30","1","55","0","0.0","0.95","91","1","1","2.41","0.0","74.2","82.4","66.0",,,,
"USC00308577","SYOSSET, NY US","2020-09",,"875","86","9","7","0","0","0","0","0","23","0","41","0","0.0","0.90","83","76","74","3.66","0.0","65.4","73.8","56.9",,,,
"USC00308577","SYOSSET, NY US","2020-10",,"876","1","17","8","0","0","0","1","0","4","0","29","0","0.0","1.88","73","365","290","5.96","0.0","55.7","63.0","48.4",,,,
"USC00308577","SYOSSET, NY US","2020-11",,"877","0","11","8","0","0","0","8","0","5","0","22","0","0.0","1.00","75","844","479","3.91","0.0","48.5","58.3","38.7",,,,
"USC00308577","SYOSSET, NY US","2020-12",,"877","0","12","8",,"1","0","22","5","0","0","13",,"7.0","1.53","63","1724","880","5.27","7.0","36.6","44.2","29.0",,,,
"USC00308577","SYOSSET, NY US","2021-01",,"0","0","7","4","0","0","0","26","5","0","0","12","0","0.1","1.20","50","2709","985","2.38","0.1","32.2","38.8","25.5",,,,
"USC00308577","SYOSSET, NY US","2021-02",,"0","0","10","7",,"3","0","25","10","0","0","12",,"6.0","1.00","52","3631","922","4.29","10.6","30.8","37.4","24.3",,,,
"USC00308577","SYOSSET, NY US","2021-03",,"0","0","7","4","0","0","0","18","1","1","0","19","0","0.0","0.94","80","4371","740","3.08","0.0","41.1","50.8","31.4",,,,
"USC00308577","SYOSSET, NY US","2021-04",,"0","0","9","7","0","0","0","3","0","2","0","28","0","0.0","1.16","79","4803","432","3.74","0.0","50.6","60.1","41.1",,,,
"USC00308577","SYOSSET, NY US","2021-05",,"31","30","9","6","0","0","0","0","0","13","0","40","0","0.0","1.48","87","5040","238","4.39","0.0","58.3","68.0","48.6",,,,
"USC00308577","SYOSSET, NY US","2021-06",,"201","170","9","4","0","0","0","0","0","27","2","49","0","0.0","0.54","93","5060","20","1.29","0.0","70.0","78.8","61.2",,,,
"USC00308577","SYOSSET, NY US","2021-07",,"464","263","16","13","0","0","0","0","0","30","3","53","0","0.0","4.05","93","6","6","9.92","0.0","73.3","81.3","65.3",,,,
"USC00308577","SYOSSET, NY US","2021-08",,"738","274","12","8","0","0","0","0","0","31","4","53","0","0.0","4.04","92","6","0","7.45","0.0","73.8","81.3","66.4",,,,
"USC00308577","SYOSSET, NY US","2021-09",,"844","106","8","5","0","0","0","0","0","29","0","52","0","0.0","4.50","83","29","22","8.15","0.0","67.8","76.0","59.5",,,,
"USC00308577","SYOSSET, NY US","2021-10",,"850","6","8","6","0","0","0","0","0","11","0","41","0","0.0","2.22","78","205","176","4.74","0.0","59.5","67.0","52.0",,,,
"USC00308577","SYOSSET, NY US","2021-11",,"850","0","10","5","0","0","0","13","0","0","0","23","0","0.0","0.46","67","861","656","1.19","0.0","43.1","52.4","33.8",,,,
"USC00308577","SYOSSET, NY US","2021-12",,"850","0","17","7","0","0","0","17","0","0","0","23","0","0.2","0.47","59","1630","769","1.64","0.2","40.2","47.2","33.1",,,,
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-01","5.4","0","0","9","5",,,"0","18","0","1","0","17",,,"1.66","70","2642","847","2.66",,"37.7","45.5","29.9","310","300","30.0","42"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-02","5.4","0","0","11","8",,,"0","15","1","0","0","12",,,"0.45","63","3389","747","2.21",,"39.2","47.0","31.4","300","280","29.1","48"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-03","6.0","0","0","14","7",,,"0","7","0","4","0","23",,,"0.82","77","3940","550","2.94",,"47.2","56.3","38.2","300","300","30.0","41"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-04","6.9","0","0","15","11",,,"0","2","0","1","0","32",,,"1.89","71","4391","452","4.63",,"49.9","58.8","41.1","310","320","36.9","53"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-05","6.3","61","61","12","4",,,"0","0","0","17","0","34",,,"0.58","87","4574","183","1.75",,"61.1","71.2","50.9","290","280","30.0","42"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-06","4.0","330","270","11","5",,,"0","0","0","30","6","45",,,"0.75","93","4583","9","2.13",,"73.7","84.7","62.7","130","320","21.0","29"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-07","3.8","828","498","15","7",,,"0","0","0","31","20","66",,,"3.09","97","0","0","5.06",,"81.1","90.6","71.5","320","80","21.9","29"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-08","3.8","1223","394","13","9",,,"0","0","0","31","11","58",,,"1.50","95","0","0","5.15",,"77.7","87.0","68.5","170","140","38.0","52"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-09","3.6","1368","145","8","5",,,"0","0","0","26","0","40",,,"1.34","88","52","52","3.59",,"68.1","78.3","57.9","290","290","19.9","30"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-10","3.6","1374","6","11","8",,,"0","1","0","12","0","29",,,"1.50","78","301","249","4.32",,"57.1","65.8","48.5","80","70","25.1","33"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-11","4.3","1374","0","9","8",,,"0","5","0","7","0","25",,,"2.34","80","750","449","4.99",,"50.0","61.5","38.5","290","290","36.9","55"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2020-12","5.1","1374","0","7","6",,,"0","21","2","0","0","13",,,"1.17","65","1602","851","3.34",,"37.5","45.2","29.9","160","160","35.1","53"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-01","5.4","0","0","8","4",,,"0","27","2","0","0","15",,,"0.76","52","2569","967","2.34",,"33.8","40.6","27.0","310","300","29.1","45"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-02","4.9","0","0","12","6",,,"0","24","6","0","0","10",,,"0.63","55","3487","918","2.44",,"32.2","39.2","25.2","290","50","23.0","34"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-03","6.7","5","5","8","5",,,"0","16","0","3","0","21",,,"0.80","84","4109","622","2.80",,"45.1","55.3","34.9","290","280","33.1","49"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-04","6.0","15","9","13","4",,,"0","2","0","12","1","27",,,"0.59","90","4449","340","2.00",,"54.0","65.3","42.7","300","300","35.1","46"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-05","4.9","88","74","11","9",,,"0","0","0","18","3","41",,,"1.68","91","4599","150","5.15",,"62.5","73.7","51.3","300","240","28.0","42"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-06","3.8","370","282","9","7",,,"0","0","0","30","12","49",,,"0.44","100","4602","2","2.11",,"74.3","85.2","63.4","160","340","23.0","30"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-07","3.6","760","390","17","13",,,"0","0","0","30","10","56",,,"1.48","97","0","0","7.82",,"77.6","86.8","68.4","290","290","40.9","51"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-08","3.4","1169","409","14","11",,,"0","0","0","31","10","58",,,"2.77","97","0","0","9.43",,"78.2","86.5","69.8","180","190","35.1","42"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-09","4.3","1326","157","10","6",,,"0","0","0","26","1","50",,,"6.17","90","9","9","8.35",,"70.5","79.4","61.5","160","170","25.9","39"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-10","4.3","1366","40","10","8",,,"0","0","0","18","0","42",,,"3.67","83","117","107","6.83",,"62.8","71.5","54.2","100","300","30.0","44"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-11","4.3","1366","0","6","4",,,"0","9","0","2","0","25",,,"0.57","73","713","597","1.26",,"45.1","55.4","34.8","290","290","25.9","37"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","2021-12","4.0","1366","0","12","6",,,"0","12","0","0","0","22",,,"0.18","69","1396","682","1.06",,"43.0","50.5","35.4","310","290","31.1","47"
